User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
CloudTrail,ASIAUXKAGM5X224F5A5T,2021-12-27T15:59:21Z,cloudtrail.amazonaws.com,UpdateTrail,eu-west-2,188.211.160.1,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:eu-west-2:324941539183:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-324941539183-f3596625""}]",99c7946b-e141-4cbd-a59e-5bdb2d324620,ae1d4f22-ad44-46d8-a140-2c0d22ae6597,false,AwsApiCall,324941539183,Management
CloudTrail,ASIAUXKAGM5X224F5A5T,2021-12-27T15:59:20Z,cloudtrail.amazonaws.com,PutInsightSelectors,eu-west-2,188.211.160.1,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:eu-west-2:324941539183:trail/Udacity_Trail""}]",7cf87eea-d6b5-4aa2-8a15-4525a4d33dbd,653487a6-de77-4171-88d8-b3d833386e46,false,AwsApiCall,324941539183,Management
CloudTrail,ASIAUXKAGM5X224F5A5T,2021-12-27T15:59:20Z,cloudtrail.amazonaws.com,PutEventSelectors,eu-west-2,188.211.160.1,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:eu-west-2:324941539183:trail/Udacity_Trail""}]",2359e513-a086-416c-859c-fd55046eb7b6,8c48e123-218f-4ce5-b639-89991bbb1648,false,AwsApiCall,324941539183,Management
Accountant,,2021-12-27T15:44:36Z,signin.amazonaws.com,ConsoleLogin,eu-west-2,188.211.160.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",,[],,6b8055e7-5494-4215-865d-ffe20f2c1411,false,AwsConsoleSignIn,324941539183,Management
CloudTrail,ASIAUXKAGM5XSLYMLVV5,2021-12-27T15:41:48Z,cloudtrail.amazonaws.com,PutInsightSelectors,eu-west-2,188.211.160.1,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:eu-west-2:324941539183:trail/Udacity_Trail""}]",857dd9e9-283d-4fc6-9207-79bd4322885c,51ca8f12-3712-45a2-8ab8-210933b23778,false,AwsApiCall,324941539183,Management
CloudTrail,ASIAUXKAGM5XSLYMLVV5,2021-12-27T15:41:48Z,cloudtrail.amazonaws.com,UpdateTrail,eu-west-2,188.211.160.1,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:eu-west-2:324941539183:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-324941539183-f3596625""}]",cce031ce-ca85-4edb-b0ba-672534527763,5eea99ea-9552-4fad-a248-7b7f75a9fb3c,false,AwsApiCall,324941539183,Management
CloudTrail,ASIAUXKAGM5XSLYMLVV5,2021-12-27T15:41:48Z,cloudtrail.amazonaws.com,PutEventSelectors,eu-west-2,188.211.160.1,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:eu-west-2:324941539183:trail/Udacity_Trail""}]",ed6baae8-14cc-4882-9238-39798830ab92,c1708907-160a-4c77-8efc-1755ea55833e,false,AwsApiCall,324941539183,Management
CloudTrail,ASIAUXKAGM5XSLYMLVV5,2021-12-27T15:40:44Z,cloudtrail.amazonaws.com,StartLogging,eu-west-2,188.211.160.1,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",b35cae74-431d-4819-9218-8e69707e99f3,225b939e-617f-4081-88cd-171d37e472d0,false,AwsApiCall,324941539183,Management
CloudTrail,ASIAUXKAGM5XSLYMLVV5,2021-12-27T15:40:44Z,s3.amazonaws.com,PutBucketPublicAccessBlock,eu-west-2,188.211.160.1,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.1030 Linux/5.4.156-94.273.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.312-b07 java/1.8.0_312 vendor/Oracle_Corporation cfg/retry-mode/standard]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-324941539183-f3596625""}]",HV1PPHX3PZJN8V9F,272ce663-7c05-4bbc-962c-9ef145990061,false,AwsApiCall,324941539183,Management
CloudTrail,ASIAUXKAGM5XSLYMLVV5,2021-12-27T15:40:44Z,cloudtrail.amazonaws.com,CreateTrail,eu-west-2,188.211.160.1,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:eu-west-2:324941539183:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-324941539183-f3596625""}]",e80f1737-9532-40c7-ac40-91cd5af550a6,4bc16aa6-63f3-4b40-9894-822a974ea94b,false,AwsApiCall,324941539183,Management
CloudTrail,ASIAUXKAGM5XSLYMLVV5,2021-12-27T15:40:44Z,s3.amazonaws.com,PutBucketPolicy,eu-west-2,188.211.160.1,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.1030 Linux/5.4.156-94.273.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.312-b07 java/1.8.0_312 vendor/Oracle_Corporation cfg/retry-mode/standard]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-324941539183-f3596625""}]",CT6Y8DA36MM1QXVX,d98fe5f8-beb9-4036-84fb-f0c349e8b407,false,AwsApiCall,324941539183,Management
CloudTrail,ASIAUXKAGM5XSLYMLVV5,2021-12-27T15:40:44Z,cloudtrail.amazonaws.com,PutEventSelectors,eu-west-2,188.211.160.1,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:eu-west-2:324941539183:trail/Udacity_Trail""}]",b70c339c-0fbf-4f65-9d9b-c421193c8db6,f677560d-128e-4a94-8709-e80363a74fa3,false,AwsApiCall,324941539183,Management
CloudTrail,ASIAUXKAGM5XSLYMLVV5,2021-12-27T15:40:43Z,s3.amazonaws.com,CreateBucket,eu-west-2,188.211.160.1,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.1030 Linux/5.4.156-94.273.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.312-b07 java/1.8.0_312 vendor/Oracle_Corporation cfg/retry-mode/standard]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-324941539183-f3596625""}]",PKAX35CE0YRKV91Z,7aae9dea-a43f-4fd4-830e-e9e9d64cd730,false,AwsApiCall,324941539183,Management
